tau,x,y,theta,v,omega,v2_plus_omega2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-7.442100147976091762e-01,1.202560374315960301e+00,2.000000000000000000e+00
2.004008016032063962e-03,-2.419413876881001870e-03,-4.741786352074067638e-06,3.947812040875465535e-03,-7.337143215034173105e-01,1.208992677571200325e+00,2.000000000000000444e+00
4.008016032064127925e-03,-4.804316966678885692e-03,-1.885530965471014924e-05,7.916545275185909308e-03,-7.231514806326750922e-01,1.215340255261369240e+00,2.000000000000000444e+00
6.012024048096191453e-03,-7.154454400384987513e-03,-4.211412197947188958e-05,1.190592091985710060e-02,-7.125222203035201929e-01,1.221602261611258733e+00,2.000000000000000444e+00
8.016032064128255849e-03,-9.469574825858896594e-03,-7.428624692189677475e-05,1.591565743123904073e-02,-7.018272836884931198e-01,1.227777856075940033e+00,2.000000000000000444e+00
1.002004008016032024e-02,-1.174943051958580488e-02,-1.151342299019241032e-04,1.994547052277775498e-02,-6.910674290025635713e-01,1.233866203675174411e+00,2.000000000000000000e+00
1.202404809619238291e-02,-1.399377749815026994e-02,-1.644151916040103309e-04,2.399507318378459042e-02,-6.802434294825896455e-01,1.239866475329406192e+00,1.999999999999999778e+00
1.402805611222444730e-02,-1.620237562933514106e-02,-2.218808845652316467e-04,2.806417569930779593e-02,-6.693560733581157551e-01,1.245777848197103355e+00,2.000000000000000444e+00
1.603206412825651170e-02,-1.837498874275339880e-02,-2.872777529168854213e-04,3.215248567111035627e-02,-6.584061638134202088e-01,1.251599506013203911e+00,2.000000000000000444e+00
1.803607214428857436e-02,-2.051138473991985511e-02,-3.603469952822559120e-04,3.625970803975735873e-02,-6.473945189407391831e-01,1.257330639428423824e+00,2.000000000000000000e+00
2.004008016032064049e-02,-2.261133570366890416e-02,-4.408246308303074039e-04,4.038554510781531409e-02,-6.363219716845887053e-01,1.262970446349176212e+00,2.000000000000000000e+00
2.204408817635270315e-02,-2.467461800682377998e-02,-5.284415684821126662e-04,4.452969656416490285e-02,-6.251893697771264691e-01,1.268518132277847821e+00,2.000000000000000000e+00
2.404809619238476581e-02,-2.670101242002240194e-02,-6.229236792638259039e-04,4.869185950942810093e-02,-6.139975756644920901e-01,1.273972910653176527e+00,2.000000000000000444e+00
2.605210420841683194e-02,-2.869030421860423868e-02,-7.239918717969579757e-04,5.287172848250934476e-02,-6.027474664240811686e-01,1.279334003190469193e+00,2.000000000000000444e+00
2.805611222444889460e-02,-3.064228328846242688e-02,-8.313621709136278549e-04,5.706899548824997254e-02,-5.914399336727087508e-01,1.284600640221396750e+00,2.000000000000000444e+00
3.006012024048096073e-02,-3.255674423076517637e-02,-9.447457993813423516e-04,6.128335002619407501e-02,-5.800758834656352114e-01,1.289772061033096939e+00,2.000000000000000000e+00
3.206412825651302340e-02,-3.443348646545022623e-02,-1.063849262718694197e-03,6.551447912046291788e-02,-5.686562361864254678e-01,1.294847514206320938e+00,2.000000000000000000e+00
3.406813627254508953e-02,-3.627231433339637989e-02,-1.188374437080196976e-03,6.976206735073464671e-02,-5.571819264276304251e-01,1.299826257952344521e+00,2.000000000000000000e+00
3.607214428857714872e-02,-3.807303719717599483e-02,-1.318018660185254782e-03,7.402579688432436855e-02,-5.456539028622818810e-01,1.304707560448378656e+00,2.000000000000000444e+00
3.807615230460921485e-02,-3.983546954029284354e-02,-1.452474825263057583e-03,7.830534750935974619e-02,-5.340731281062052194e-01,1.309490700171197508e+00,2.000000000000000000e+00
